Date,Adult Female Count,Moving Count,Fixed Count
11/15/2018,,,
11/16/2018,,,
11/17/2018,,,
11/18/2018,,,
11/19/2018,,,
11/20/2018,,,
11/21/2018,,,
11/22/2018,,,
11/23/2018,,,
11/24/2018,,,
11/25/2018,,,
11/26/2018,,,
11/27/2018,0.5,,
11/28/2018,,,
11/29/2018,,,
11/30/2018,,,
12/1/2018,,,
12/2/2018,,,
12/3/2018,,,
12/4/2018,0.7,,
12/5/2018,,,
12/6/2018,,,
12/7/2018,,,
12/8/2018,,,
12/9/2018,,,
12/10/2018,,,
12/11/2018,0.2,,
12/12/2018,,,
12/13/2018,,,
12/14/2018,,,
12/15/2018,,,
12/16/2018,,,
12/17/2018,,,
12/18/2018,,,
12/19/2018,,,
12/20/2018,0.4,2.5,0.6
12/21/2018,,,
12/22/2018,,,
12/23/2018,,,
12/24/2018,,,
12/25/2018,,,
12/26/2018,,,
12/27/2018,0.6,3.8,0.4
12/28/2018,,,
12/29/2018,,,
12/30/2018,,,
12/31/2018,,,
1/1/2019,,,
1/2/2019,,,
1/3/2019,,,
1/4/2019,,,
1/5/2019,,,
1/6/2019,,,
1/7/2019,,,
1/8/2019,0,0.3,0.2
1/9/2019,,,
1/10/2019,,,
1/11/2019,,,
1/12/2019,,,
1/13/2019,,,
1/14/2019,,,
1/15/2019,,,
1/16/2019,0.2,0.2,0.8
1/17/2019,,,
1/18/2019,,,
1/19/2019,,,
1/20/2019,,,
1/21/2019,,,
1/22/2019,0.3,3.5,2.2
1/23/2019,,,
1/24/2019,,,
1/25/2019,,,
1/26/2019,,,
1/27/2019,,,
1/28/2019,,,
1/29/2019,0.1,4.3,4.5
1/30/2019,,,
1/31/2019,,,
2/1/2019,,,
2/2/2019,,,
2/3/2019,,,
2/4/2019,,,
2/5/2019,0.3,11.6,1.8
2/6/2019,,,
2/7/2019,,,
2/8/2019,,,
2/9/2019,,,
2/10/2019,,,
2/11/2019,,,
2/12/2019,0.2,8,5.1
2/13/2019,,,
2/14/2019,,,
2/15/2019,,,
2/16/2019,,,
2/17/2019,,,
2/18/2019,,,
2/19/2019,0.1,0.9,0.3